nodes,densidade,DLTS Clique (tempo),algoBitCliqueMaxPartite (tempo),DLTS Clique (nodes),algoBitCliqueMaxPartite (nodes),Dif
10,0.25,14.263324737548828,0.00030994415283203125,14,12,0.0
10,0.25,6.318470001220703,0.00028443336486816406,14,14,0.0
10,0.25,5.981407165527344,0.0002110004425048828,11,14,0.0
10,0.25,7.5070273876190186,0.0002493858337402344,15,17,0.0
10,0.25,6.393249988555908,0.00022554397583007812,12,14,0.0
10,0.25,5.838572978973389,0.0001995563507080078,12,12,0.0
10,0.25,5.2007458209991455,0.0003123283386230469,12,14,0.0
10,0.25,6.334928035736084,0.00020122528076171875,14,12,0.0
10,0.25,6.194086790084839,0.00024366378784179688,13,14,0.0
10,0.25,7.765085220336914,0.0002474784851074219,18,15,0.0
10,0.5,7.0504279136657715,0.00023818016052246094,15,17,0.0
10,0.5,8.561028480529785,0.00028133392333984375,20,18,0.0
10,0.5,6.947561979293823,0.0003559589385986328,14,17,0.0
10,0.5,7.7859742641448975,0.0002722740173339844,17,17,0.0
10,0.5,7.722189664840698,0.0003879070281982422,17,17,0.0
10,0.5,11.914274215698242,0.0002582073211669922,27,17,0.0
10,0.5,8.032022714614868,0.00026035308837890625,17,18,0.0
10,0.5,7.329833269119263,0.0002486705780029297,15,17,0.0
10,0.5,6.394340753555298,0.00021719932556152344,14,15,0.0
10,0.5,5.9793925285339355,0.00029969215393066406,14,18,0.0
10,0.75,3.856279134750366,0.00035834312438964844,9,31,0.0
10,0.75,4.649454832077026,0.0003237724304199219,10,24,0.0
10,0.75,15.284193277359009,0.00026106834411621094,33,20,0.0
10,0.75,2.278510332107544,0.00029921531677246094,5,28,0.16666666666666666
10,0.75,9.02086615562439,0.0003044605255126953,22,24,0.0
10,0.75,4.181959867477417,0.00034689903259277344,9,24,0.0
10,0.75,6.6876466274261475,0.0004336833953857422,15,22,0.0
10,0.75,6.696007013320923,0.0003647804260253906,15,23,0.0
10,0.75,2.8444788455963135,0.00037169456481933594,7,28,0.0
10,0.75,2.7999987602233887,0.0003104209899902344,7,29,0.0
10,0.9,4.964329957962036,0.00038933753967285156,12,33,0.14285714285714285
10,0.9,6.262853622436523,0.0003643035888671875,12,33,0.14285714285714285
10,0.9,2.6243762969970703,0.00029730796813964844,6,24,0.0
10,0.9,4.580610036849976,0.0003459453582763672,10,33,0.0
10,0.9,5.123088121414185,0.0003600120544433594,11,33,0.0
10,0.9,4.754796266555786,0.00039005279541015625,11,40,0.0
10,0.9,3.4210221767425537,0.00041222572326660156,10,47,0.0
10,0.9,4.168741226196289,0.0004096031188964844,10,47,0.0
10,0.9,4.585916042327881,0.00037932395935058594,10,33,0.0
10,0.9,11.96600890159607,0.0003705024719238281,21,35,0.0
15,0.25,11.058566331863403,0.00028514862060546875,26,19,0.0
15,0.25,11.629953145980835,0.0003476142883300781,27,19,0.0
15,0.25,9.561070203781128,0.00024366378784179688,20,19,0.0
15,0.25,10.32222580909729,0.0003006458282470703,23,19,0.0
15,0.25,9.273254871368408,0.00022935867309570312,23,17,0.0
15,0.25,11.54679274559021,0.00029969215393066406,25,23,0.0
15,0.25,11.849026441574097,0.0003216266632080078,31,19,0.0
15,0.25,11.088459491729736,0.0002684593200683594,24,19,0.0
15,0.25,13.833923816680908,0.00035190582275390625,34,21,0.0
15,0.25,9.775392055511475,0.0002624988555908203,24,21,0.0
15,0.5,7.39781379699707,0.00038552284240722656,18,28,0.0
15,0.5,4.647369623184204,0.00037097930908203125,12,29,0.0
15,0.5,2.820638418197632,0.0003998279571533203,7,27,0.0
15,0.5,7.244102716445923,0.0003981590270996094,18,27,0.0
15,0.5,4.938987493515015,0.0004055500030517578,10,27,0.0
15,0.5,11.12009334564209,0.00047850608825683594,23,43,0.2857142857142857
15,0.5,16.512564182281494,0.0005466938018798828,38,24,0.0
15,0.5,3.6666042804718018,0.00039315223693847656,9,29,0.0
15,0.5,28.195713758468628,0.0003743171691894531,64,26,0.0
15,0.5,3.963336706161499,0.0004260540008544922,10,35,0.0
15,0.75,7.273956298828125,0.0007550716400146484,14,52,0.0
15,0.75,13.23616886138916,0.0005292892456054688,25,40,0.14285714285714285
15,0.75,12.689558267593384,0.000514984130859375,25,43,0.0
15,0.75,5.0702619552612305,0.0005342960357666016,8,47,0.0
15,0.75,13.24645733833313,0.0006389617919921875,25,41,0.0
15,0.75,12.298033952713013,0.0007066726684570312,23,44,0.0
15,0.75,23.047508478164673,0.0006301403045654297,46,44,0.14285714285714285
15,0.75,4.136727571487427,0.0005991458892822266,8,47,0.0
15,0.75,4.281777381896973,0.0006532669067382812,10,47,0.0
15,0.75,6.300894260406494,0.00046896934509277344,12,35,0.0
15,0.9,9.733691692352295,0.0008580684661865234,17,74,0.09090909090909091
15,0.9,5.0883283615112305,0.0006353855133056641,8,59,0.1111111111111111
15,0.9,12.270399570465088,0.0006105899810791016,22,57,0.0
15,0.9,7.781652212142944,0.0008177757263183594,14,65,0.0
15,0.9,5.724401235580444,0.0007121562957763672,10,61,0.0
15,0.9,8.57407808303833,0.0010013580322265625,16,94,0.0
15,0.9,5.6642279624938965,0.0006380081176757812,10,56,0.0
15,0.9,6.389303684234619,0.0006327629089355469,10,59,0.0
15,0.9,7.6616551876068115,0.0008471012115478516,13,78,0.0
15,0.9,4.930690765380859,0.0007967948913574219,8,65,0.1111111111111111
20,0.25,17.988361835479736,0.0003509521484375,43,25,0.0
20,0.25,21.06545400619507,0.0004055500030517578,48,24,0.0
20,0.25,13.230972051620483,0.0004146099090576172,28,24,0.0
20,0.25,18.81802463531494,0.0004105567932128906,44,28,0.0
20,0.25,13.599589347839355,0.00043964385986328125,28,27,0.0
20,0.25,17.07668685913086,0.0003566741943359375,40,25,0.0
20,0.25,20.123969078063965,0.0003707408905029297,53,26,0.0
20,0.25,16.736461400985718,0.00038552284240722656,39,25,0.0
20,0.25,14.298357963562012,0.0003807544708251953,30,27,0.0
20,0.25,17.479971408843994,0.00039386749267578125,40,30,0.0
20,0.5,7.44469952583313,0.0007276535034179688,15,34,0.0
20,0.5,8.569057703018188,0.0005536079406738281,17,33,0.0
20,0.5,10.742838144302368,0.0007815361022949219,19,39,0.0
20,0.5,6.061108827590942,0.0006823539733886719,14,32,0.0
20,0.5,12.38810110092163,0.0008249282836914062,25,34,0.0
20,0.5,14.607781648635864,0.0007121562957763672,28,37,0.0
20,0.5,5.338479280471802,0.0006403923034667969,13,37,0.0
20,0.5,12.505499839782715,0.0009243488311767578,23,41,0.0
20,0.5,46.06250739097595,0.0006575584411621094,101,30,0.0
20,0.5,44.246578216552734,0.0005614757537841797,105,30,0.0
20,0.75,16.39614510536194,0.0013234615325927734,30,57,0.0
20,0.75,20.019701957702637,0.001459360122680664,38,54,0.0
20,0.75,4.956116199493408,0.0013687610626220703,8,62,0.1111111111111111
20,0.75,6.4306254386901855,0.0014362335205078125,10,68,0.0
20,0.75,5.303061246871948,0.001482248306274414,10,73,0.2
20,0.75,5.976343631744385,0.0013113021850585938,10,78,0.1
20,0.75,11.92738151550293,0.0011315345764160156,21,65,0.1111111111111111
20,0.75,5.857973098754883,0.0014164447784423828,10,64,0.0
20,0.75,5.835700750350952,0.0011339187622070312,10,68,0.0
20,0.75,7.889477014541626,0.0010006427764892578,15,61,0.0
20,0.9,9.632346391677856,0.0015587806701660156,16,106,0.0
20,0.9,8.12027907371521,0.0012805461883544922,12,93,0.08333333333333333
20,0.9,6.039372444152832,0.0012993812561035156,11,106,0.15384615384615385
20,0.9,11.075670719146729,0.0016303062438964844,17,89,0.09090909090909091
20,0.9,10.9518563747406,0.001491546630859375,16,120,0.0
20,0.9,12.498337268829346,0.0011081695556640625,23,83,0.0
20,0.9,6.064225196838379,0.0011365413665771484,11,81,0.0
20,0.9,7.644270896911621,0.0016312599182128906,11,96,0.08333333333333333
20,0.9,13.511873006820679,0.0014102458953857422,23,77,0.1
20,0.9,12.765271663665771,0.0016887187957763672,21,116,0.07142857142857142
30,0.25,43.92914652824402,0.001299142837524414,103,42,0.0
30,0.25,43.247350454330444,0.0008654594421386719,107,41,0.0
30,0.25,34.913414478302,0.0011713504791259766,82,38,0.0
30,0.25,36.02531027793884,0.0007283687591552734,92,39,0.0
30,0.25,37.33553957939148,0.0013453960418701172,88,40,0.0
30,0.25,39.859617471694946,0.0011188983917236328,90,40,0.0
30,0.25,40.753726959228516,0.0009622573852539062,97,40,0.0
30,0.25,41.33974838256836,0.0010848045349121094,99,40,0.0
30,0.25,36.50795102119446,0.0012254714965820312,90,40,0.0
30,0.25,38.33631658554077,0.0012345314025878906,92,40,0.0
30,0.5,35.064974784851074,0.002003908157348633,68,59,0.0
30,0.5,26.782293558120728,0.001645803451538086,50,51,0.16666666666666666
30,0.5,20.142097234725952,0.0015420913696289062,40,53,0.0
30,0.5,21.82567024230957,0.0014355182647705078,43,55,0.16666666666666666
30,0.5,30.20505952835083,0.0019097328186035156,59,71,0.14285714285714285
30,0.5,20.326656103134155,0.0014100074768066406,38,54,0.0
30,0.5,16.991441249847412,0.001325845718383789,33,54,0.0
30,0.5,21.468156814575195,0.0014581680297851562,40,62,0.14285714285714285
30,0.5,34.69216823577881,0.0019373893737792969,68,59,0.16666666666666666
30,0.5,34.24643421173096,0.0013763904571533203,65,56,0.0
30,0.75,10.805041551589966,0.00235748291015625,17,121,0.16666666666666666
30,0.75,17.369300842285156,0.002264738082885742,33,117,0.25
30,0.75,10.479438066482544,0.001712799072265625,17,102,0.0
30,0.75,14.328355312347412,0.002326488494873047,26,83,0.1111111111111111
30,0.75,7.7083423137664795,0.0025110244750976562,12,106,0.0
30,0.75,11.79260802268982,0.0017998218536376953,23,91,0.1111111111111111
30,0.75,10.192038774490356,0.0019609928131103516,17,115,0.09090909090909091
30,0.75,18.108453512191772,0.0023789405822753906,32,96,0.1
30,0.75,8.717402696609497,0.004770994186401367,13,116,0.08333333333333333
30,0.75,11.382726192474365,0.0018470287322998047,22,98,0.1
30,0.9,27.892970323562622,0.0023756027221679688,51,156,0.06666666666666667
30,0.9,17.50807285308838,0.003007173538208008,25,178,0.0
30,0.9,18.000010013580322,0.0027310848236083984,27,176,0.0
30,0.9,13.459847927093506,0.002591371536254883,21,165,0.0
30,0.9,13.584039449691772,0.0029010772705078125,20,188,0.11764705882352941
30,0.9,12.018343925476074,0.002750396728515625,19,165,0.06666666666666667
30,0.9,10.410043954849243,0.0027730464935302734,15,151,0.06666666666666667
30,0.9,22.763173818588257,0.0029604434967041016,39,170,0.0
30,0.9,15.747640609741211,0.002657175064086914,21,211,0.05555555555555555
30,0.9,9.930634498596191,0.0026302337646484375,17,181,0.0
